CASERNE,MUNICIPALITY/BOROUGH,CODE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
62,Dorval,66087,866.3,867.9,867.3,874.2,864.4,864.0,882.2,901.1,880.6,893.6,908.8,920.9,928.2,936.9,926.1,950.0,943.7,935.5,947.8,966.4
63,Dorval,66087,866.3,867.9,867.3,874.2,864.4,864.0,882.2,901.1,880.6,893.6,908.8,920.9,928.2,936.9,926.1,950.0,943.7,935.5,947.8,966.4
79,Hampstead,66062,4017.2,4017.2,4034.4,3972.8,3966.7,4001.1,4061.7,4100.0,4061.7,4046.1,4046.1,4043.9,4082.2,4129.4,3968.3,4083.3,4151.1,4151.7,4095.6,4149.4
54,Kirkland,66102,2243.9,2264.1,2260.0,2175.8,2157.2,2143.3,2165.3,2183.9,2215.5,2203.5,2232.5,2215.6,2201.2,2192.1,2078.2,2114.4,2088.1,2091.8,2076.0,2037.9
74,Mont-Royal,66072,2749.2,2552.6,2547.5,2536.3,2500.9,2511.6,2555.7,2625.0,2592.4,2641.2,2712.1,2745.9,2789.2,2835.9,2782.4,2898.3,2874.2,2868.2,2820.9,2865.1
8,Montréal-Est,66007,303.7,303.7,311.0,313.8,305.8,306.9,310.1,314.2,303.7,301.2,310.0,307.7,310.9,317.0,309.9,321.0,327.5,344.4,356.5,384.6
77,Montréal-Ouest,66047,3800.7,3800.7,3813.6,3775.0,3710.7,3696.4,3754.3,3800.7,3630.7,3690.0,3740.0,3722.9,3734.3,3777.9,3702.1,3776.4,3785.7,3853.6,4170.7,3750.0
55,Pointe-Claire,66097,1617.3,1626.6,1628.9,1634.7,1614.6,1642.7,1655.6,1673.2,1645.3,1655.7,1669.8,1696.7,1718.1,1734.6,1704.5,1775.6,1793.3,1817.8,1837.7,1884.5
51,Sainte-Anne-De-Bellevue,66117,351.6,351.6,354.2,346.6,350.2,344.0,349.7,351.0,325.7,328.7,327.3,326.5,326.9,331.4,338.9,332.5,332.7,332.3,333.1,353.4
76,Westmount,66032,5013.8,5000.8,4925.2,5216.2,5137.0,5121.8,5206.8,5254.8,5001.8,5027.8,5104.8,5155.2,5162.0,5195.0,5234.5,5243.5,5288.0,5171.8,4984.5,5023.2
