YEAR,MONTH,CASERNE,MEDIAN_NOMBRE_UNITES,FIRE_COUNT,AREA_SQ_KM,FIRE_COUNT_SQ_KM,LOG_MEDIAN_NOMBRE_UNITES,LOG_FIRE_COUNT_SQ_KM,SEVERITY_RISK,FREQUENCY_RISK
2005,4,54,1.0,6,9.67,0.62,0.0,0.4824261492442928,0.0,15.0
2005,4,55,1.5,16,18.93,0.85,0.4054651081081644,0.6151856390902335,9.0,20.0
2005,4,57,1.0,25,12.81,1.95,0.0,1.0818051703517284,0.0,36.0
2005,4,58,1.0,3,2.28,1.32,0.0,0.8415671856782188,0.0,28.000000000000004
2005,4,61,1.0,14,15.06,0.93,0.0,0.6575200029167942,0.0,21.0
2005,4,63,1.0,13,16.54,0.79,0.0,0.5822156198526637,0.0,19.0
2005,4,64,1.0,16,17.88,0.89,0.0,0.6365768290715511,0.0,21.0
2005,4,65,1.0,33,16.1,2.05,0.0,1.1151415906193203,0.0,37.0
2005,4,66,1.0,20,6.06,3.3,0.0,1.4586150226995167,0.0,49.0
2005,4,67,2.0,4,3.76,1.06,0.6931471805599453,0.7227059828014898,16.0,24.0
2005,4,71,3.5,4,14.53,0.28,1.252762968495368,0.2468600779315258,28.999999999999996,7.000000000000001
2005,4,72,2.0,6,19.75,0.3,0.6931471805599453,0.26236426446749106,16.0,8.0
2005,4,73,1.5,14,8.65,1.62,0.4054651081081644,0.9631743177730056,9.0,32.0
2005,4,74,1.0,7,7.55,0.93,0.0,0.6575200029167942,0.0,21.0
2005,4,75,1.0,1,3.82,0.26,0.0,0.23111172096338664,0.0,7.000000000000001
2005,4,76,1.0,5,4.02,1.24,0.0,0.8064758658669485,0.0,27.0
2005,4,77,1.0,2,1.41,1.42,0.0,0.883767540168595,0.0,28.999999999999996
2005,4,78,4.0,9,8.62,1.04,1.3862943611198906,0.712949807856125,32.0,23.0
2005,5,3,7.0,1,1.33,0.75,1.9459101490553132,0.5596157879354227,44.0,18.0
2005,5,4,2.0,8,5.47,1.46,0.6931471805599453,0.9001613499442714,16.0,30.0
2005,5,5,1.0,10,1.31,7.63,0.0,2.1552445050953364,0.0,73.0
2005,5,8,1.0,16,12.33,1.3,0.0,0.8329091229351039,0.0,28.000000000000004
2005,5,9,1.0,14,9.29,1.51,0.0,0.9202827531436925,0.0,31.0
2005,5,10,6.5,8,2.65,3.02,1.8718021769015913,1.3912819026309295,43.0,47.0
2005,5,13,1.0,5,3.55,1.41,0.0,0.8796267475025636,0.0,28.999999999999996
2005,5,14,1.0,7,10.31,0.68,0.0,0.5187937934151676,0.0,17.0
2005,5,15,1.0,6,6.6,0.91,0.0,0.6471032420585385,0.0,21.0
2005,5,16,3.0,7,2.72,2.57,1.0986122886681098,1.2725655957915476,25.0,43.0
2005,5,17,1.5,8,4.89,1.64,0.4054651081081644,0.9707789171582247,9.0,32.0
2005,5,18,1.0,11,6.02,1.83,0.0,1.0402767116551463,0.0,35.0
2005,5,19,1.0,15,8.29,1.81,0.0,1.0331844833456545,0.0,34.0
2005,5,20,4.0,9,6.3,1.43,1.3862943611198906,0.887891257352457,32.0,28.999999999999996
2005,5,21,1.0,13,9.76,1.33,0.0,0.8458682675776092,0.0,28.000000000000004
2005,5,22,1.0,10,3.8,2.63,0.0,1.2892326482767593,0.0,43.0
2005,5,23,1.0,10,4.73,2.11,0.0,1.1346227261911428,0.0,38.0
