INCIDENT_NBR,CREATION_DATE,INCIDENT_TYPE_DESC,DESCRIPTION_GROUPE,CASERNE,NOM_VILLE,NOM_ARROND,DIVISION,LATITUDE,LONGITUDE,NOMBRE_UNITES,DESC_GROUP_ENGLISH
1481,2005-01-13,Feu de véhicule extérieur,Autres incendies,41,Montréal,Villeray / St-Michel / Parc Extension,20,45.5310972345191,-73.6476962621427,1.0,Other fires
1491,2005-01-13,Fumée - puit d'accès,Autres incendies,17,Montréal-Nord,Montréal-Nord,21,45.5855747708575,-73.6317335904588,2.0,Other fires
1498,2005-01-13,Déchets en feu,Autres incendies,67,Verdun / Ïle-des-Soeurs,Verdun,15,45.4650489330543,-73.5387577765867,1.0,Other fires
1504,2005-01-13,10-22 avec feu,Incendies de bâtiments,46,Montréal,Côte-des-Neiges / Notre-Dame-de-Grâce,17,45.465936428297,-73.6247314061433,3.0,Building fire
1512,2005-01-13,Feu de véhicule extérieur,Autres incendies,45,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5698827038698,-73.5380788000536,1.0,Other fires
1517,2005-01-13,Feu de champ *,Autres incendies,39,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5816207859024,-73.5609656394111,1.0,Other fires
1558,2005-01-13,Déchets en feu,Autres incendies,26,Montréal,Mont-Royal,22,45.5406419353042,-73.5807527278804,1.0,Other fires
1587,2005-01-13,Acc. victime feu - voie rapide,Autres incendies,72,Saint-Laurent,Saint-Laurent,13,45.4938126125486,-73.6919737911519,6.0,Other fires
1607,2005-01-13,Déchets en feu,Autres incendies,64,Lachine,Lachine,14,45.4363654434375,-73.6774184324419,1.0,Other fires
1646,2005-01-14,Feu de bâtiment,Incendies de bâtiments,17,Montréal-Nord,Montréal-Nord,21,45.6065757296592,-73.6402098400749,12.0,Building fire
1658,2005-01-14,Fumée - puit d'accès,Autres incendies,26,Montréal,Mont-Royal,22,45.5400377202024,-73.5809731280545,1.0,Other fires
1667,2005-01-14,Déchets en feu,Autres incendies,25,Montréal,Ville-Marie,18,45.4944387406803,-73.5704147886842,1.0,Other fires
1674,2005-01-14,Feu de véhicule extérieur,Autres incendies,27,Montréal,Côte-des-Neiges / Notre-Dame-de-Grâce,17,45.5024520616444,-73.6357280361394,1.0,Other fires
1686,2005-01-14,10-22 avec feu,Incendies de bâtiments,13,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5446900142669,-73.5377695588123,6.0,Building fire
1691,2005-01-14,Feu de véhicule extérieur,Autres incendies,21,Saint-Léonard,Saint-Léonard,20,45.5895516408886,-73.5881019799998,1.0,Other fires
1705,2005-01-14,Feu de bâtiment,Incendies de bâtiments,53,Beaconsfield,Beaconsfield / Baie d'Urfé,12,45.4272961659882,-73.8625398054138,12.0,Building fire
1721,2005-01-14,Fumée - puit d'accès,Autres incendies,73,Saint-Laurent,Saint-Laurent,13,45.5123485891071,-73.6736829052585,1.0,Other fires
1728,2005-01-14,Feu de véhicule extérieur,Autres incendies,47,Montréal,Rosemont / Petite-Patrie,22,45.543776431151,-73.5886310104647,1.0,Other fires
1748,2005-01-14,Déchets en feu,Autres incendies,31,Montréal,Rosemont / Petite-Patrie,22,45.5386914776101,-73.6140232014726,1.0,Other fires
1751,2005-01-14,Déchets en feu,Autres incendies,41,Montréal,Villeray / St-Michel / Parc Extension,20,45.5303654561563,-73.6365214129028,1.0,Other fires
1774,2005-01-15,Déchets en feu,Autres incendies,25,Montréal,Ville-Marie,18,45.5004890685472,-73.5717587298149,3.0,Other fires
1781,2005-01-15,Feu / 2e Alerte,Incendies de bâtiments,73,Saint-Laurent,Saint-Laurent,13,45.5297605138673,-73.6667013815805,39.0,Building fire
